picnum	ename	gname	sname	iname	bname	hname	cname	egoodrt	ggoodrt	sgoodrt	igoodrt	bgoodrt	hgoodrt	cgoodrt	enoname	gnoname	snoname	inoname	bnoname	hnoname	cnoname	ebadrt	gbadrt	sbadrt	ibadrt	bbadrt	hbadrt	cbadrt	etype	gtype	stype	itype	btype	htype	ctype	estatu	gstatu	sstatu	istatu	bstatu	hstatu	cstatu	elex1	glex1	slex1	ilex1	blex1	hlex1	clex1	elex2	glex2	slex2	ilex2	blex2	hlex2	clex2	elex3	glex3	slex3	ilex3	blex3	hlex3	clex3	elex4	glex4	slex4	ilex4	blex4	hlex4	clex4	elex13	glex13	slex13	ilex13	blex13	hlex13	clex13	erttot	grttot	srttot	irttot	brttot	hrttot	crttot	estdtot	gstdtot	sstdtot	istdtot	bstdtot	hstdtot	cstdtot	erttar	grttar	srttar	irttar	brttar	hrttar	crttar	estdtar	gstdtar	sstdtar	istdtar	bstdtar	hstdtar	cstdtar	ert2	grt2	srt2	irt2	brt2	hrt2	crt2	ert3	grt3	srt3	irt3	brt3	hrt3	crt3	ert4	grt4	srt4	irt4	brt4	hrt4	crt4	xtype	elex1z	glex1z	slex1z	ilex1z	blex1z	hlex1z	clex1z	xlexuniv	xlex1ze	xlex1zg	xlex1zs	xlex1zi	xlex1zb	xlex1zh	xlex1zc	xlex1zed	xlex1zgd	xlex1zsd	xlex1zid	xlex1zbd	xlex1zhd	xlex1zcd	xrtzdisp	ertz	grtz	srtz	irtz	brtz	hrtz	crtz	xrtuniv	xrtze	xrtzg	xrtzs	xrtzi	xrtzb	xrtzh	xrtzc	xrtzed	xrtzgd	xrtzsd	xrtzid	xrtzbd	xrtzhd	xrtzcd	xrtzdisp	esames	gsames	ssames	isames	bsames	hsames	csames	ovcjpg	objnum	esyll	gsyll	ssyll	isyll	bsyll	hsyll	csyll	echar	gchar	schar	ichar	bchar	hchar	esyll2	gsyll2	ssyll2	isyll2	bsyll2	hsyll2	csyll2	efric	gfric	sfric	ifric	bfric	hfric	cfric	ecomplx	gkomplx	scomplx	icomplx	bcomplx	hcomplx	lnefreq	lngfreq	lnsfreq	lnifreq	lnbfreq	lnhfreq	lncfreq	frqfac1	frqfac1e	frqfac1g	frqfac1s	frqfac1i	frqfac1b	frqfac1h	frqfac1c	sylfac1	sylfac1e	sylfac1g	sylfac1s	sylfac1i	sylfac1b	sylfac1h	sylfac1c
obj142	ear	ohr	oreja	orecchio	uho	fül	er3-duo1	1,00	1,00	1,00	1,00	0,94	0,98	0,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,06	0,02	0,02	1	1,7	2	2	1	3	1	0,000	0,000	0,990	0,141	0,084	0,310	0,029	1,00	1,00	0,56	0,98	1,00	0,96	1,00	0,00	0,00	0,00	0,02	0,00	0,04	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,44	0,00	0,00	0,00	0,00	1,00	1,00	0,56	1,00	1,00	1,00	1,00	681	713	844	714	776	729	709	105	116	226	149	237	204	161	681	713	845	712	776	705	709	105	116	250	149	237	133	161				840		1307											843					1,67	0,92	0,95	-1,17	0,97	0,97	0,84	1,21	0,67	0,63	0,62	0,98	0,62	0,62	0,64	0,58	0,29	0,33	-2,15	0,35	0,35	0,20	0,63	0,61	-1,60	-1,42	-1,12	-1,59	-1,69	-1,37	-1,57	-1,48	-1,46	-1,49	-1,54	-1,46	-1,45	-1,50	-1,46	-0,14	0,07	0,42	-0,13	-0,24	0,13	-0,11	0,18	0	0	0	0	0	0	0	9033	1	1	1	3	3	2	1	2	3	3	5	8	3	3	0,454	0,227	0,344	0,400	0,537	0,173	0,700	0	0	0	0	0	1	0	0	0	0	0	0	0	4,489	3,912	4,248	2,996	4,750	4,718	4,682	1,48	1,45	1,45	1,53	1,45	1,56	1,34	1,48	-0,81	-0,71	-0,60	-0,99	-1,01	-0,82	-0,61	-0,85
obj143	earring	ohrring	arete	ciondolo	obitsa	fülbevaló	er3-huan2	0,68	0,43	0,44	0,66	0,28	0,54	0,48	0,32	0,57	0,48	0,34	0,68	0,28	0,36	0,00	0,00	0,08	0,00	0,04	0,18	0,16	7	3,3	7	8	8	10	8	1,636	0,909	1,203	1,898	1,230	1,917	1,751	0,59	0,69	0,73	0,39	0,43	0,44	0,29	0,00	0,00	0,05	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,06	0,00	0,00	0,00	0,41	0,31	0,23	0,55	0,57	0,56	0,71	0,59	0,69	0,77	0,46	0,43	0,44	0,29	1803	1763	1889	1800	1955	1886	1957	605	612	788	583	436	731	719	1642	1729	1724	1752	1861	1750	1988	539	652	695	425	587	486	649			1777								1810				2033	1839	2440	1834	2026	1995	1945	7,33	-1,60	-0,60	-0,36	-1,74	-1,82	-1,57	-1,83	-1,36	-1,32	-1,49	-1,53	-1,30	-1,28	-1,32	-1,28	-0,28	0,89	1,17	-0,44	-0,54	-0,25	-0,55	0,59	2,96	2,30	2,23	2,35	2,46	2,53	2,52	2,48	2,40	2,51	2,52	2,50	2,48	2,47	2,47	0,56	-0,21	-0,29	-0,15	-0,02	0,06	0,05	0,19	0	0	0	0	0	0	0	5676	1	2	2	3	3	3	4	2	7	7	5	8	6	9	0,387	0,498	0,344	0,400	0,269	0,079	0,700	0	0	0	1	0	1	0	1	1	0	0	0	0	1,386	1,099	1,099	0,000	4,800	0,000	2,303	-0,74	-0,71	-0,74	-0,63	-0,69	-0,92	-0,71	-0,75	0,58	0,61	0,70	0,61	0,66	0,51	0,24	0,66
obj144	egg	ei	huevo	uovo	jajtse	tojás	dan4	1,00	1,00	1,00	1,00	0,94	0,98	0,92	0,00	0,00	0,00	0,00	0,00	0,00	0,06	0,00	0,00	0,00	0,00	0,06	0,02	0,02	2	5,0	1	4	2	5	4	0,141	0,420	0,000	0,522	0,224	0,588	1,068	0,98	0,93	1,00	0,92	0,98	0,92	0,74	0,02	0,07	0,00	0,08	0,02	0,04	0,22	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,04	0,04	1,00	1,00	1,00	1,00	1,00	0,96	0,96	883	835	1010	824	971	857	1322	255	214	329	209	308	301	508	874	816	1010	783	949	833	1298	249	209	329	158	269	285	536	1336	1092		1291	2019	1365	1370													888	1500	3,29	0,79	0,61	0,98	0,69	0,87	0,65	0,09	0,67	0,65	0,68	0,62	0,67	0,64	0,67	0,77	0,15	-0,07	0,37	0,03	0,23	-0,03	-0,68	0,22	-0,69	-1,04	-0,49	-1,33	-1,03	-0,89	0,31	-0,74	-0,74	-0,68	-0,78	-0,64	-0,69	-0,71	-0,91	0,06	-0,36	0,28	-0,69	-0,34	-0,18	1,22	0,45	0	0	0	0	0	0	1	10440	2	1	1	2	2	2	2	1	3	2	5	4	6	5	0,454	0,227	0,438	0,379	0,537	0,512	0,117	0	0	0	0	0	0	0	0	0	0	0	0	0	4,466	3,892	4,007	2,303	5,800	2,890	4,025	1,26	1,19	1,20	1,31	1,29	1,14	1,30	1,30	-1,36	-1,34	-1,25	-1,36	-1,38	-1,45	-1,47	-1,13
obj145	elephant	elefant	elefante	elefante	slon	elefánt	da4-xiang4	1,00	0,97	1,00	0,98	0,98	1,00	0,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	0,00	0,02	0,02	0,00	0,02	2	1,7	1	2	1	1	2	0,141	0,047	0,000	0,169	0,029	0,000	0,354	0,98	1,00	1,00	0,98	1,00	1,00	0,94	0,00	0,00	0,00	0,00	0,00	0,00	0,06	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,00	0,00	0,02	0,00	0,00	0,00	0,98	1,00	1,00	0,98	1,00	1,00	1,00	847	768	815	885	872	758	864	221	145	248	344	185	201	220	837	768	815	879	872	758	842	210	145	248	344	185	201	202							1198								1360			1203				1,52	0,79	0,95	0,98	0,97	0,97	1,03	0,94	0,95	0,97	0,95	0,94	0,95	0,95	0,94	0,95	-0,18	0,00	0,04	0,03	0,03	0,10	-0,01	0,05	-0,86	-1,22	-1,24	-0,96	-1,32	-1,17	-1,15	-1,13	-1,18	-1,12	-1,11	-1,16	-1,10	-1,12	-1,13	0,31	-0,10	-0,12	0,20	-0,22	-0,05	-0,02	0,15	0	0	0	0	0	0	0	24585	1	3	3	4	4	1	3	2	8	7	8	8	4	7	0,121	0,200	0,144	0,146	0,102	0,212	0,700	0	0	0	0	1	0	0	0	0	0	0	0	0	3,219	2,303	2,944	0,000	3,850	0,000	4,663	-0,05	-0,17	-0,11	-0,06	0,13	0,02	0,11	-0,25	0,90	0,64	0,81	0,72	0,78	1,35	0,85	1,00
obj146	envelope	briefumschlag	sobre	busta	plik	boríték	xin4-feng1	1,00	1,00	0,98	0,96	1,00	0,92	0,96	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,04	0,00	0,08	0,04	2	5,0	2	6	5	3	2	0,402	1,075	0,658	1,544	1,441	1,124	0,454	0,92	0,67	0,84	0,54	0,48	0,59	0,92	0,00	0,30	0,00	0,08	0,08	0,02	0,00	0,00	0,03	0,00	0,00	0,00	0,39	0,00	0,08	0,00	0,16	0,38	0,44	0,00	0,08	0,92	1,00	0,84	0,63	0,56	1,00	0,92	803	909	927	1028	926	868	900	190	375	286	319	272	269	211	794	865	915	946	1002	912	901	178	199	254	233	270	238	215		1015		1434	966	701			823				811		902		990	1057	835		886	3,57	0,43	-0,72	0,18	-1,05	-1,57	-0,90	0,85	-0,40	-0,54	-0,35	-0,50	-0,29	-0,20	-0,31	-0,61	0,96	-0,38	0,68	-0,76	-1,37	-0,59	1,46	0,89	-1,07	-0,86	-0,85	-0,71	-0,82	-0,59	-0,96	-0,84	-0,80	-0,83	-0,84	-0,86	-0,84	-0,88	-0,82	-0,27	-0,03	-0,02	0,15	0,02	0,28	-0,14	0,13	0	0	0	1	1	0	0	11394	1	3	3	2	2	1	3	2	8	13	5	5	4	7	0,121	0,200	0,438	0,379	0,102	0,212	0,700	0	0	1	0	0	0	1	0	1	0	0	0	0	3,219	1,609	8,320	3,091	4,700	0,000	3,367	0,82	0,86	1,06	0,29	0,65	0,84	1,14	0,90	0,00	-0,41	-0,27	0,21	0,29	0,35	-0,19	-0,01
obj147	eskimo	eskimo	esquimal	esquimese	eskimos	eszkimó	ai4-si1-ji1-mo2-ren2	0,88	0,97	0,70	0,86	0,76	0,96	0,74	0,12	0,03	0,28	0,14	0,12	0,02	0,12	0,00	0,00	0,02	0,00	0,12	0,02	0,14	6	8,3	8	7	5	3	10	0,844	0,873	1,638	1,292	0,994	0,336	2,251	0,89	0,86	0,63	0,77	0,84	0,96	0,41	0,00	0,00	0,00	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,11	0,14	0,37	0,21	0,16	0,04	0,59	0,89	0,86	0,63	0,79	0,84	0,96	0,41	1306	1474	1697	1629	1636	1146	1776	580	459	673	502	613	356	616	1206	1432	1521	1535	1591	1147	1567	450	470	605	437	595	357	481				1478											2078	1740	1995	1990	1879	1134	1919	6,76	0,22	0,26	-0,84	-0,01	0,20	0,83	-1,35	-0,10	-0,15	-0,16	0,02	-0,11	-0,15	-0,25	0,11	0,37	0,41	-0,86	0,10	0,34	1,09	-1,46	0,66	0,89	1,21	1,46	1,53	1,43	0,28	1,17	1,14	1,18	1,13	1,09	1,07	1,09	1,28	1,13	-0,29	0,09	0,37	0,45	0,34	-1,00	0,04	0,37	0	0	0	0	0	0	0	11857	1	3	3	3	4	3	3	5	6	6	8	9	7	7	0,121	0,200	0,344	0,146	0,269	0,212	0,002	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000	0,693	0,000	0,000	2,150	0,000	1,609	-1,55	-1,46	-1,64	-1,43	-1,62	-1,38	-1,66	-1,58	2,06	2,00	2,13	2,31	2,20	2,23	2,13	1,27
obj148	eye	auge	ojo	occhio	oko	szem	ian3-jing1	0,98	1,00	1,00	1,00	0,98	1,00	0,98	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,00	0,00	0,00	0,02	0,00	0,02	2	1,7	1	1	1	2	2	0,169	0,000	0,000	0,000	0,029	0,141	0,169	0,98	1,00	1,00	1,00	1,00	0,98	0,98	0,02	0,00	0,00	0,00	0,00	0,02	0,02	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	1,00	1,00	1,00	1,00	1,00	1,00	703	723	729	724	771	758	686	107	138	194	209	176	157	142	700	723	729	724	771	747	686	105	138	194	209	176	136	143	869					1315	668															1,52	0,79	0,95	0,98	1,06	0,97	0,94	1,12	0,97	1,00	0,98	0,97	0,96	0,97	0,98	0,95	-0,21	-0,03	0,01	0,10	0,00	-0,04	0,17	0,08	-1,51	-1,38	-1,56	-1,55	-1,71	-1,21	-1,65	-1,51	-1,51	-1,53	-1,50	-1,50	-1,48	-1,56	-1,49	0,00	0,15	-0,06	-0,05	-0,23	0,35	-0,16	0,14	0	0	0	0	0	0	0	9104	1	1	2	2	2	2	1	2	3	4	3	6	3	4	0,454	0,498	0,438	0,379	0,537	0,173	0,700	0	0	0	0	0	1	0	0	0	0	0	0	0	6,261	5,720	5,263	4,344	5,150	6,639	6,455	2,68	2,59	2,58	2,78	2,63	2,82	2,52	2,62	-1,01	-0,94	-1,13	-0,95	-0,94	-1,04	-0,84	-1,08
obj149	fan	ventilator	ventilador	ventilatore	ventilator	ventillátor	dian4-feng1-shan4	0,98	1,00	0,92	0,80	0,94	0,86	0,98	0,00	0,00	0,06	0,18	0,04	0,08	0,00	0,02	0,00	0,02	0,02	0,02	0,06	0,02	2	5,0	2	2	1	1	3	0,169	0,420	1,019	0,392	0,084	0,187	0,409	0,98	0,93	0,57	0,98	1,00	1,00	0,94	0,00	0,00	0,00	0,03	0,00	0,00	0,06	0,00	0,00	0,44	0,00	0,00	0,00	0,00	0,02	0,07	0,00	0,00	0,00	0,00	0,00	0,98	0,93	1,00	1,00	1,00	1,00	1,00	868	1256	1081	1031	1210	1249	810	252	435	308	352	484	562	153	865	1201	1121	1028	1210	1249	804	254	313	374	356	484	562	148				1144			891			1030					996	2028						2,29	0,79	0,61	-1,15	0,95	0,97	1,03	0,94	0,59	0,56	0,59	0,88	0,53	0,53	0,52	0,53	0,23	0,02	-2,03	0,41	0,44	0,51	0,41	0,58	-0,73	0,37	-0,07	-0,40	-0,03	0,66	-1,27	-0,21	-0,12	-0,30	-0,23	-0,18	-0,24	-0,35	-0,03	-0,61	0,67	0,16	-0,22	0,21	1,02	-1,24	0,59	0	0	0	0	0	0	0	35152	1	1	4	4	5	4	4	3	3	10	10	11	10	11	0,454	0,069	0,144	0,046	0,067	0,079	0,165	1	0	0	1	1	1	0	0	0	0	0	0	0	2,890	0,693	2,565	0,000	4,000	0,000	2,565	-0,55	-0,70	-0,44	-0,59	-0,46	-0,56	-0,48	-0,56	2,03	2,61	1,82	2,02	1,84	1,89	1,89	1,95
obj150	faucet	wasserhahn	llave	rubinetto	cheshma	csap	shui3-lung2-tou2	1,00	0,97	0,92	0,94	0,84	0,96	0,96	0,00	0,03	0,08	0,04	0,04	0,00	0,00	0,00	0,00	0,00	0,02	0,12	0,04	0,04	6	3,3	7	4	9	3	1	1,060	0,256	1,217	0,997	1,947	0,768	0,057	0,82	0,97	0,80	0,81	0,57	0,83	1,00	0,00	0,00	0,09	0,00	0,00	0,17	0,00	0,00	0,00	0,02	0,00	0,00	0,00	0,00	0,18	0,03	0,09	0,19	0,43	0,00	0,00	0,82	0,97	0,91	0,81	0,57	1,00	1,00	1168	1062	1357	1238	1400	1079	1121	405	374	404	563	479	327	403	1130	1007	1298	1166	1261	1052	1121	377	232	376	480	393	337	403			1456			1215				1198					1337	2605	1841	1539	1586			4,76	-0,18	0,78	0,02	0,18	-1,13	0,25	1,21	0,16	0,22	0,06	0,18	0,16	0,38	0,15	-0,01	-0,40	0,72	-0,16	0,02	-1,50	0,10	1,22	0,59	0,53	-0,34	0,61	0,13	0,17	-0,07	-0,25	0,11	0,04	0,18	0,03	0,11	0,10	0,14	0,17	0,49	-0,53	0,58	0,02	0,07	-0,21	-0,42	0,33	0	0	1	0	0	0	0	17509	1	2	3	2	4	2	1	3	6	10	5	9	7	4	0,387	0,200	0,438	0,146	0,537	0,173	0,165	1	0	0	0	1	1	1	0	1	0	0	0	0	1,099	1,099	4,489	1,386	4,800	3,850	2,996	0,23	0,48	0,42	0,07	0,22	0,16	-0,03	0,27	0,30	0,26	0,09	0,52	0,09	0,44	0,63	0,02
obj151	feather	feder	pluma	piuma	pero	toll	yu3-mao2	0,98	1,00	0,98	0,98	1,00	0,96	0,90	0,00	0,00	0,00	0,02	0,00	0,00	0,02	0,02	0,00	0,02	0,00	0,00	0,04	0,08	2	1,7	2	3	2	4	5	0,169	0,000	0,270	0,978	0,242	0,753	0,782	0,98	1,00	0,96	0,71	0,96	0,88	0,89	0,00	0,00	0,00	0,00	0,00	0,08	0,00	0,00	0,00	0,00	0,27	0,00	0,00	0,00	0,02	0,00	0,04	0,02	0,04	0,04	0,11	0,98	1,00	0,96	0,98	0,96	0,96	0,89	977	933	1030	1042	966	921	1073	404	224	311	291	275	266	522	977	933	1041	1006	967	891	993	408	224	311	254	278	240	354						1357					1152				944		757	890	961	660	1716	2,81	0,79	0,95	0,78	-0,26	0,77	0,45	0,73	0,60	0,57	0,54	0,57	0,75	0,57	0,63	0,58	0,22	0,41	0,21	-1,00	0,20	-0,18	0,15	0,34	-0,20	-0,61	-0,37	-0,48	-0,96	-0,67	-0,66	-0,57	-0,63	-0,56	-0,60	-0,58	-0,50	-0,55	-0,55	0,43	-0,06	0,22	0,10	-0,46	-0,13	-0,12	0,22	0	0	1	0	0	1	0	21626	1	2	2	2	2	2	1	2	7	5	5	5	4	4	0,387	0,498	0,438	0,379	0,537	0,173	0,700	1	1	0	0	0	0	0	0	0	0	0	0	0	3,091	2,996	3,989	0,000	2,800	2,773	4,190	0,22	0,15	0,08	0,11	0,44	0,48	0,09	0,10	-0,74	-0,94	-0,83	-0,65	-0,61	-0,73	-0,53	-0,79
obj152	fence	zaun	cerco	staccionata	ograda	kerítés	zha4-lan2	1,00	1,00	0,98	0,80	0,96	1,00	0,92	0,00	0,00	0,02	0,14	0,00	0,00	0,02	0,00	0,00	0,00	0,06	0,04	0,00	0,06	2	3,3	9	7	1	1	11	0,141	0,650	2,232	2,258	0,057	0,000	1,978	0,98	0,83	0,39	0,28	1,00	1,00	0,65	0,00	0,17	0,35	0,00	0,00	0,00	0,13	0,00	0,00	0,02	0,40	0,00	0,00	0,07	0,02	0,00	0,24	0,33	0,00	0,00	0,15	0,98	1,00	0,76	0,68	1,00	1,00	0,85	817	869	1069	1392	874	812	1363	192	205	457	602	205	215	466	819	852	921	1474	874	812	1304	194	189	261	642	205	215	481		949	1047				1570			982	1371			1277	703		1344	1347			1475	4,90	0,79	0,11	-2,02	-2,29	0,97	1,03	-0,29	-0,24	-0,41	-0,30	0,06	0,10	-0,44	-0,45	-0,23	1,21	0,41	-2,07	-2,39	1,41	1,48	-0,05	1,29	-0,95	-0,91	-0,83	1,29	-1,31	-0,97	0,33	-0,48	-0,40	-0,41	-0,42	-0,77	-0,34	-0,40	-0,61	-0,55	-0,50	-0,41	2,07	-0,97	-0,57	0,94	0,86	1	0	0	0	0	0	0	17349	1	1	1	2	4	3	3	2	5	4	5	11	6	7	0,454	0,227	0,438	0,146	0,269	0,212	0,700	1	0	1	1	0	0	0	0	0	0	0	0	0	3,434	2,708	2,833	0,000	4,300	3,784	2,708	0,27	0,17	0,19	0,31	0,49	0,29	0,02	0,34	-0,14	0,09	0,17	0,01	-0,48	-0,31	-0,34	-0,12
obj153	finger	finger	dedo	dito	pr^st	ujj	shou3-zhi3	0,98	0,93	1,00	0,92	0,98	1,00	0,96	0,02	0,00	0,00	0,02	0,00	0,00	0,00	0,00	0,07	0,00	0,06	0,02	0,00	0,04	2	3,3	2	3	2	2	6	0,169	0,645	0,242	0,735	0,608	0,722	1,538	0,98	0,86	0,96	0,87	0,86	0,80	0,67	0,00	0,14	0,00	0,04	0,00	0,20	0,13	0,00	0,00	0,00	0,09	0,00	0,00	0,00	0,02	0,00	0,04	0,00	0,14	0,00	0,21	0,98	1,00	0,96	1,00	0,86	1,00	0,79	787	900	795	916	939	869	935	193	210	268	357	383	278	291	775	869	757	861	853	793	853	174	208	157	347	265	237	208		1083		1332		1176	812				1253				1383		1694		1454		1271	2,90	0,79	0,23	0,79	0,46	0,27	0,09	-0,22	0,35	0,27	0,36	0,27	0,33	0,36	0,39	0,44	0,52	-0,13	0,52	0,14	-0,09	-0,29	-0,66	0,34	-1,16	-0,85	-1,46	-1,03	-1,39	-1,04	-1,11	-1,15	-1,15	-1,20	-1,10	-1,17	-1,11	-1,17	-1,15	-0,01	0,35	-0,36	0,14	-0,29	0,13	0,04	0,19	0	0	1	0	0	0	0	5370	1	2	2	2	2	1	1	2	6	6	4	4	5	3	0,387	0,498	0,438	0,379	0,102	0,173	0,700	1	1	0	0	0	0	1	0	1	0	0	0	0	4,820	4,111	4,883	2,197	4,950	4,970	4,700	1,57	1,50	1,52	1,55	1,67	1,62	1,41	1,57	-0,96	-1,21	-1,07	-0,89	-0,87	-0,73	-0,78	-1,04
obj154	fire	feuer	fuego	fuoco	og^n	tüüz	huo3	1,00	1,00	0,98	1,00	0,98	0,94	0,90	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,00	0,02	0,06	0,10	3	3,3	7	1	1	5	12	0,282	0,469	2,080	0,000	0,029	0,736	1,975	0,96	0,90	0,47	1,00	1,00	0,89	0,67	0,00	0,10	0,00	0,00	0,00	0,00	0,20	0,00	0,00	0,39	0,00	0,00	0,02	0,00	0,04	0,00	0,14	0,00	0,00	0,09	0,13	0,96	1,00	0,86	1,00	1,00	0,92	0,87	854	918	1208	953	1037	961	1353	211	239	401	321	398	405	623	854	920	1155	953	1037	889	1335	214	245	321	321	398	314	609		902					1489			1254			2551		865		1261			1326	1239	4,62	0,67	0,45	-1,62	1,06	0,97	0,53	-0,22	0,26	0,20	0,23	0,58	0,13	0,15	0,22	0,34	0,48	0,21	-2,20	0,93	0,83	0,32	-0,57	0,79	-0,78	-0,66	0,06	-0,68	-0,69	-0,68	0,43	-0,43	-0,37	-0,39	-0,51	-0,39	-0,39	-0,39	-0,57	-0,41	-0,27	0,57	-0,29	-0,30	-0,29	1,00	0,45	0	0	0	0	0	1	0	52543	2	2	2	2	2	2	1	1	4	5	5	5	4	3	0,387	0,498	0,438	0,379	0,537	0,173	0,117	1	1	1	1	0	0	1	0	1	0	0	0	0	5,094	4,007	5,303	3,091	5,100	4,263	5,509	1,79	1,72	1,80	1,76	1,79	1,84	1,76	1,72	-1,05	-1,30	-1,19	-1,02	-1,00	-1,10	-0,87	-0,79
obj155	fireman	feuerwehrmann	bombero	pompiere	pozharnikar	tüüzoltó	xiao1-fang2-yuan2	1,00	1,00	1,00	0,94	0,98	0,94	0,90	0,00	0,00	0,00	0,02	0,02	0,02	0,00	0,00	0,00	0,00	0,04	0,00	0,04	0,10	3	3,3	2	3	3	2	10	0,383	0,211	0,141	0,461	0,493	0,224	2,517	0,94	0,97	0,98	0,94	0,92	0,98	0,29	0,04	0,00	0,00	0,00	0,00	0,00	0,56	0,00	0,00	0,00	0,04	0,00	0,00	0,00	0,02	0,03	0,02	0,02	0,08	0,02	0,16	0,98	0,97	0,98	0,98	0,92	0,98	0,85	898	1297	947	1046	1287	1175	1224	162	394	305	327	388	333	287	899	1302	949	993	1277	1167	1170	166	400	308	246	354	333	180	842						1270				1867				956	1147	846	1713	1405	1526	1160	3,76	0,55	0,78	0,89	0,77	0,57	0,93	-1,84	0,38	0,35	0,31	0,29	0,31	0,35	0,29	0,75	0,20	0,47	0,59	0,45	0,22	0,65	-2,59	0,74	-0,57	0,74	-0,72	-0,53	0,23	0,36	-0,10	-0,09	0,00	-0,22	0,02	-0,01	-0,14	-0,16	-0,08	-0,56	0,96	-0,75	-0,52	0,37	0,52	-0,01	0,53	0	0	0	0	0	0	0	26161	2	3	4	3	3	4	3	3	7	13	7	8	11	7	0,121	0,069	0,344	0,400	0,067	0,212	0,165	1	1	0	0	0	0	1	1	1	0	0	0	1	1,609	0,000	1,792	0,000	3,650	0,000	1,609	-0,97	-1,01	-0,83	-1,05	-0,95	-0,98	-0,98	-0,93	1,67	1,56	1,37	1,86	1,99	1,50	1,72	1,53
obj156	firetruck	feuerwehr	bomberos	pompieri	pozharna	tüüzoltóautó	xiao1-fang2-che1	0,96	0,90	0,80	0,62	0,88	1,00	0,88	0,02	0,03	0,14	0,34	0,08	0,00	0,00	0,02	0,07	0,06	0,04	0,04	0,00	0,12	4	13,3	11	16	11	8	4	1,289	1,984	2,519	2,580	2,392	1,867	1,187	0,65	0,52	0,30	0,32	0,43	0,62	0,66	0,29	0,30	0,00	0,23	0,36	0,24	0,30	0,00	0,00	0,28	0,07	0,00	0,00	0,00	0,06	0,19	0,43	0,39	0,20	0,14	0,05	0,94	0,82	0,58	0,61	0,80	0,86	0,95	1152	1689	1705	1969	1759	1553	1565	325	511	568	611	716	546	484	1066	1599	1493	1764	1447	1462	1637	255	539	476	509	479	489	483	1283	1621		2201	1961	1507	1409			1861	1640				1434	2048	1754	2061	2058	2034	1545	9,62	-1,25	-1,47	-2,45	-2,06	-1,81	-0,75	-0,26	-1,43	-1,47	-1,43	-1,27	-1,33	-1,37	-1,55	-1,63	0,22	-0,04	-1,18	-0,74	-0,44	0,80	1,37	0,68	0,22	1,82	1,35	2,39	0,88	1,46	1,40	1,36	1,55	1,28	1,36	1,19	1,44	1,34	1,35	-1,33	0,54	-0,01	1,20	-0,56	0,11	0,04	0,54	0	0	0	0	0	0	0	41094	2	3	3	3	3	3	6	3	9	9	8	8	8	11	0,121	0,200	0,344	0,400	0,269	0,006	0,165	1	1	0	0	0	0	1	1	1	1	1	0	1	0,000	2,833	2,398	0,000	3,650	0,000	2,079	-0,74	-0,51	-1,01	-0,79	-0,68	-0,72	-0,71	-0,72	1,85	1,76	1,87	2,08	2,20	1,96	1,18	1,69
obj157	fish	fisch	pez	pesce	riba	hal	yu2	0,98	0,97	0,94	0,98	0,96	0,96	0,94	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,03	0,06	0,02	0,04	0,04	0,06	1	3,3	2	3	2	3	3	0,029	0,256	0,854	0,310	0,380	0,435	0,461	1,00	0,97	0,75	0,96	0,94	0,94	0,94	0,00	0,00	0,00	0,02	0,06	0,04	0,02	0,00	0,00	0,26	0,00	0,00	0,00	0,00	0,00	0,03	0,00	0,02	0,00	0,02	0,04	1,00	0,97	1,00	0,98	1,00	0,98	0,96	777	812	980	833	857	841	844	219	251	278	250	306	300	197	777	789	1042	815	860	844	827	219	221	283	238	316	308	186				1314	818	723	934			798						1476		1211		962	1180	2,48	0,92	0,78	-0,27	0,87	0,67	0,74	0,93	0,66	0,62	0,64	0,82	0,63	0,66	0,65	0,62	0,29	0,14	-1,09	0,25	0,01	0,09	0,31	0,31	-1,15	-1,14	-0,37	-1,20	-1,37	-0,85	-1,20	-1,04	-1,02	-1,02	-1,15	-1,01	-0,98	-1,07	-1,01	-0,13	-0,12	0,78	-0,19	-0,38	0,22	-0,18	0,29	0	0	0	0	0	0	0	12019	1	1	1	1	2	2	1	1	4	5	3	5	4	3	0,454	0,227	0,023	0,379	0,537	0,173	0,117	1	1	0	0	0	1	0	0	0	0	0	0	0	5,100	3,555	4,094	2,773	4,900	2,996	6,047	1,45	1,33	1,48	1,52	1,45	1,51	1,52	1,28	-1,79	-1,84	-1,76	-1,61	-1,88	-1,93	-1,72	-1,60
