ID	condition	text	text2	age	gender	hand	resp	RTs	resp_eff	w1	conc1	w2	conc2	sim	delta_conc	freq1	logfreq1	freq2	logfreq2	delta_freq	to_resp	count	distance	Sim	accuracy	trial	L1	L2	L_diff	subj
1	A	muscoloso	debole	24	M	DX	l	2495	debole	debole	3,95	muscoloso	7,35	0,264836	3,4	4318	3,635282638	139	2,1430148	0,04179	debole	1	0,735164	0,264836	1	debolemuscoloso	9	6	3	1
1	A	disprezzo	sorriso	24	M	DX	a	2722	disprezzo	disprezzo	3,55	sorriso	7,9	0,337781	4,35	600	2,77815125	3084	3,489114369	0,02484	disprezzo	1	0,662219	0,337781	1	disprezzosorriso	9	7	2	1
1	A	aereo	allerta	24	M	DX	l	2408	allerta	allerta	3,85	aereo	8,2	0,179597	4,35	639	2,805500858	9570	3,980911938	0,08931	allerta	1	0,820403	0,179597	1	allertaaereo	5	7	2	1
1	A	grezzo	barile	24	M	DX	a	1503	grezzo	grezzo	4,25	barile	8,7	0,24472	4,45	188	2,274157849	363	2,559906625	0,00175	grezzo	1	0,75528	0,24472	1	grezzobarile	6	6	0	1
1	A	pianta	saggio	24	M	DX	l	2757	saggio	saggio	5,9	pianta	8,55	0,082313	2,65	1912	3,281487888	1213	3,083860801	0,00699	saggio	1	0,917687	0,082313	1	saggiopianta	6	6	0	1
1	A	cappello	rovente	24	M	DX	l	2539	rovente	rovente	5,6	cappello	8,45	0,085326	2,85	124	2,093421685	4094	3,612147838	0,0397	rovente	1	0,914674	0,085326	1	roventecappello	8	7	1	1
1	A	ricatto	schiaffo	24	M	DX	a	2779	ricatto	ricatto	3,65	schiaffo	7,6	0,368617	3,95	552	2,741939078	576	2,760422483	0,00024	ricatto	1	0,631383	0,368617	1	ricattoschiaffo	7	8	1	1
1	A	crepuscolo	orologio	24	M	DX	a	1457	crepuscolo	crepuscolo	4,55	orologio	8,5	0,26735	3,95	172	2,235528447	4034	3,605735894	0,03862	crepuscolo	1	0,73265	0,26735	1	crepuscoloorologio	10	8	2	1
1	A	lavare	attivare	24	M	DX	l	2890	attivare	attivare	3,1	lavare	8,15	0,168269	5,05	682	2,833784375	1150	3,06069784	0,00468	attivare	1	0,831731	0,168269	1	attivarelavare	6	8	2	1
1	A	vetro	giustizia	24	M	DX	l	918	giustizia	giustizia	4,1	vetro	8,6	0,080953	4,5	4840	3,684845362	2181	3,338655666	0,02659	giustizia	1	0,919047	0,080953	1	giustiziavetro	5	9	4	1
